ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68104,2019,X25.to.29.years,1475,1479,8,7.6,8.5,2954
68104,2019,X30.to.34.years,1773,1508,8.9,9.1,8.6,3281
68104,2019,X35.to.39.years,1387,999,6.5,7.2,5.7,2386
68104,2019,X40.to.44.years,1337,1356,7.3,6.9,7.8,2693
68104,2019,X45.to.49.years,1005,990,5.4,5.2,5.7,1995
68104,2019,X50.to.54.years,1200,1039,6.1,6.2,5.9,2239
68104,2019,X55.to.59.years,1121,1013,5.8,5.8,5.8,2134
68104,2019,X60.to.64.years,959,906,5.1,4.9,5.2,1865
68104,2019,X65.to.69.years,1048,538,4.3,5.4,3.1,1586
68104,2019,X70.to.74.years,583,524,3,3,3,1107
68104,2019,X75.to.79.years,426,421,2.3,2.2,2.4,847
68104,2019,X80.to.84.years,318,152,1.3,1.6,0.9,470
68104,2019,X85.years.and.over,341,165,1.4,1.8,0.9,506
68104,2019,Median.age..years.,35.1,32.6,NA,NA,NA,34.1
68104,2020,Total.population,19539,18043,NA,NA,NA,37582
68104,2020,Under.5.years,1239,1357,6.9,6.3,7.5,2596
68104,2020,X5.to.9.years,1238,1274,6.7,6.3,7.1,2512
68104,2020,X10.to.14.years,1417,1021,6.5,7.3,5.7,2438
68104,2020,X15.to.19.years,1155,1288,6.5,5.9,7.1,2443
68104,2020,X20.to.24.years,1351,1298,7,6.9,7.2,2649
68104,2020,X25.to.29.years,1219,1537,7.3,6.2,8.5,2756
68104,2020,X30.to.34.years,1865,1229,8.2,9.5,6.8,3094
68104,2020,X35.to.39.years,1225,1286,6.7,6.3,7.1,2511
68104,2020,X40.to.44.years,1353,1219,6.8,6.9,6.8,2572
68104,2020,X45.to.49.years,1177,1110,6.1,6,6.2,2287
68104,2020,X50.to.54.years,1114,1384,6.6,5.7,7.7,2498
68104,2020,X55.to.59.years,1477,1042,6.7,7.6,5.8,2519
68104,2020,X60.to.64.years,1062,1177,6,5.4,6.5,2239
68104,2020,X65.to.69.years,1018,552,4.2,5.2,3.1,1570
68104,2020,X70.to.74.years,523,494,2.7,2.7,2.7,1017
68104,2020,X75.to.79.years,461,386,2.3,2.4,2.1,847
68104,2020,X80.to.84.years,320,219,1.4,1.6,1.2,539
68104,2020,X85.years.and.over,325,170,1.3,1.7,0.9,495
68104,2020,Median.age..years.,36.1,35.1,NA,NA,NA,35.8
68105,2018,Total.population,11603,11905,NA,NA,NA,23508
68105,2018,Under.5.years,1133,1008,9.1,9.8,8.5,2141
68105,2018,X5.to.9.years,895,833,7.4,7.7,7,1728
68105,2018,X10.to.14.years,602,666,5.4,5.2,5.6,1268
68105,2018,X15.to.19.years,642,766,6,5.5,6.4,1408
68105,2018,X20.to.24.years,1130,1029,9.2,9.7,8.6,2159
68105,2018,X25.to.29.years,1105,1178,9.7,9.5,9.9,2283
68105,2018,X30.to.34.years,1028,1273,9.8,8.9,10.7,2301
68105,2018,X35.to.39.years,660,760,6,5.7,6.4,1420
68105,2018,X40.to.44.years,661,507,5,5.7,4.3,1168
68105,2018,X45.to.49.years,546,612,4.9,4.7,5.1,1158
68105,2018,X50.to.54.years,712,908,6.9,6.1,7.6,1620
68105,2018,X55.to.59.years,615,630,5.3,5.3,5.3,1245
68105,2018,X60.to.64.years,556,661,5.2,4.8,5.6,1217
68105,2018,X65.to.69.years,424,422,3.6,3.7,3.5,846
68105,2018,X70.to.74.years,240,211,1.9,2.1,1.8,451
68105,2018,X75.to.79.years,196,139,1.4,1.7,1.2,335
68105,2018,X80.to.84.years,127,130,1.1,1.1,1.1,257
68105,2018,X85.years.and.over,331,172,2.1,2.9,1.4,503
68105,2018,Median.age..years.,31.4,31.9,NA,NA,NA,31.6
68105,2019,Total.population,11462,11941,NA,NA,NA,23403
68105,2019,Under.5.years,1028,1015,8.7,9,8.5,2043
68105,2019,X5.to.9.years,790,821,6.9,6.9,6.9,1611
68105,2019,X10.to.14.years,633,585,5.2,5.5,4.9,1218
68105,2019,X15.to.19.years,676,633,5.6,5.9,5.3,1309
68105,2019,X20.to.24.years,1119,993,9,9.8,8.3,2112
68105,2019,X25.to.29.years,1090,1339,10.4,9.5,11.2,2429
68105,2019,X30.to.34.years,931,1258,9.4,8.1,10.5,2189
68105,2019,X35.to.39.years,601,792,6,5.2,6.6,1393
68105,2019,X40.to.44.years,653,521,5,5.7,4.4,1174
68105,2019,X45.to.49.years,712,695,6,6.2,5.8,1407
68105,2019,X50.to.54.years,654,857,6.5,5.7,7.2,1511
68105,2019,X55.to.59.years,593,652,5.3,5.2,5.5,1245
68105,2019,X60.to.64.years,594,638,5.3,5.2,5.3,1232
68105,2019,X65.to.69.years,438,476,3.9,3.8,4,914
68105,2019,X70.to.74.years,291,208,2.1,2.5,1.7,499
68105,2019,X75.to.79.years,201,107,1.3,1.8,0.9,308
68105,2019,X80.to.84.years,151,178,1.4,1.3,1.5,329
68105,2019,X85.years.and.over,307,173,2.1,2.7,1.4,480
68105,2019,Median.age..years.,31.9,32.4,NA,NA,NA,32.2
68105,2020,Total.population,10716,11796,NA,NA,NA,22512
68105,2020,Under.5.years,732,1071,8,6.8,9.1,1803
68105,2020,X5.to.9.years,574,597,5.2,5.4,5.1,1171
68105,2020,X10.to.14.years,642,570,5.4,6,4.8,1212
